Ventiladores,fecha,numero
ocupados,2021-01-05,1898
total,2021-01-06,2097
disponibles,2021-01-06,233
ocupados,2021-01-06,1864
total,2021-01-07,2115
disponibles,2021-01-07,209
ocupados,2021-01-07,1906
total,2021-01-08,2106
disponibles,2021-01-08,200
ocupados,2021-01-08,1906
total,2021-01-09,2111
disponibles,2021-01-09,177
ocupados,2021-01-09,1934
total,2021-01-10,2109
disponibles,2021-01-10,187
ocupados,2021-01-10,1922
total,2021-01-11,2104
disponibles,2021-01-11,180
ocupados,2021-01-11,1924
total,2021-01-12,2133
disponibles,2021-01-12,182
ocupados,2021-01-12,1951
total,2021-01-13,2120
disponibles,2021-01-13,175
ocupados,2021-01-13,1945
total,2021-01-14,2126
disponibles,2021-01-14,162
ocupados,2021-01-14,1964
total,2021-01-15,2161
disponibles,2021-01-15,174
ocupados,2021-01-15,1987
total,2021-01-16,2196
disponibles,2021-01-16,188
ocupados,2021-01-16,2008
total,2021-01-17,2228
disponibles,2021-01-17,204
ocupados,2021-01-17,2024
total,2021-01-18,2244
disponibles,2021-01-18,203
ocupados,2021-01-18,2041
total,2021-01-19,2247
disponibles,2021-01-19,187
ocupados,2021-01-19,2060
total,2021-01-20,2290
disponibles,2021-01-20,198
ocupados,2021-01-20,2092
total,2021-01-21,2302
disponibles,2021-01-21,173
ocupados,2021-01-21,2129
total,2021-01-22,2346
disponibles,2021-01-22,181
ocupados,2021-01-22,2165
total,2021-01-23,2367
disponibles,2021-01-23,183
ocupados,2021-01-23,2184
total,2021-01-24,2398
disponibles,2021-01-24,192
ocupados,2021-01-24,2206
total,2021-01-25,2382
disponibles,2021-01-25,192
ocupados,2021-01-25,2190
total,2021-01-26,2390
disponibles,2021-01-26,180
ocupados,2021-01-26,2210
total,2021-01-27,2425
disponibles,2021-01-27,178
ocupados,2021-01-27,2247
total,2021-01-28,2469
disponibles,2021-01-28,185
ocupados,2021-01-28,2284
total,2021-01-29,2482
disponibles,2021-01-29,188
ocupados,2021-01-29,2294
total,2021-01-30,2495
disponibles,2021-01-30,161
ocupados,2021-01-30,2334
total,2021-01-31,2488
disponibles,2021-01-31,188
ocupados,2021-01-31,2300
total,2021-02-01,2491
disponibles,2021-02-01,196
ocupados,2021-02-01,2295
total,2021-02-02,2508
disponibles,2021-02-02,184
ocupados,2021-02-02,2324
total,2021-02-03,2597
disponibles,2021-02-03,200
ocupados,2021-02-03,2397
total,2021-02-04,2636
disponibles,2021-02-04,209
ocupados,2021-02-04,2427
total,2021-02-05,2651
disponibles,2021-02-05,204
ocupados,2021-02-05,2447
total,2021-02-06,2677
disponibles,2021-02-06,201
ocupados,2021-02-06,2476
total,2021-02-07,2680
disponibles,2021-02-07,227
ocupados,2021-02-07,2453
total,2021-02-08,2689
disponibles,2021-02-08,231
ocupados,2021-02-08,2458
total,2021-02-09,2704
disponibles,2021-02-09,227
ocupados,2021-02-09,2477
total,2021-02-10,2710
disponibles,2021-02-10,226
ocupados,2021-02-10,2484
total,2021-02-11,2744
disponibles,2021-02-11,215
ocupados,2021-02-11,2529
total,2021-02-12,2753
disponibles,2021-02-12,232
ocupados,2021-02-12,2521
total,2021-02-13,2756
disponibles,2021-02-13,231
ocupados,2021-02-13,2525
total,2021-02-14,2746
disponibles,2021-02-14,231
ocupados,2021-02-14,2515
total,2021-02-15,2746
disponibles,2021-02-15,223
ocupados,2021-02-15,2523
total,2021-02-16,2751
disponibles,2021-02-16,226
ocupados,2021-02-16,2525
total,2021-02-17,2756
disponibles,2021-02-17,239
ocupados,2021-02-17,2517
total,2021-02-18,2768
disponibles,2021-02-18,250
ocupados,2021-02-18,2518
total,2021-02-19,2769
disponibles,2021-02-19,257
ocupados,2021-02-19,2512
total,2021-02-20,2775
disponibles,2021-02-20,240
ocupados,2021-02-20,2535
total,2021-02-21,2778
disponibles,2021-02-21,246
ocupados,2021-02-21,2532
total,2021-02-22,2781
disponibles,2021-02-22,222
ocupados,2021-02-22,2559
total,2021-02-23,2771
disponibles,2021-02-23,186
ocupados,2021-02-23,2585
total,2021-02-24,2790
disponibles,2021-02-24,226
ocupados,2021-02-24,2564
total,2021-02-25,2800
disponibles,2021-02-25,216
ocupados,2021-02-25,2584
total,2021-02-26,2791
disponibles,2021-02-26,192
ocupados,2021-02-26,2599
total,2021-02-27,2797
disponibles,2021-02-27,197
ocupados,2021-02-27,2600
total,2021-02-28,2805
disponibles,2021-02-28,200
ocupados,2021-02-28,2605
total,2021-03-01,2806
disponibles,2021-03-01,213
ocupados,2021-03-01,2593
total,2021-03-02,2809
disponibles,2021-03-02,173
ocupados,2021-03-02,2636
total,2021-03-03,2834
disponibles,2021-03-03,165
ocupados,2021-03-03,2669
total,2021-03-04,2845
disponibles,2021-03-04,187
ocupados,2021-03-04,2658
total,2021-03-05,2861
disponibles,2021-03-05,178
ocupados,2021-03-05,2683
total,2021-03-06,2874
disponibles,2021-03-06,167
ocupados,2021-03-06,2707
total,2021-03-07,2900
disponibles,2021-03-07,183
ocupados,2021-03-07,2717
total,2021-03-08,2913
disponibles,2021-03-08,166
ocupados,2021-03-08,2747
total,2021-03-09,2956
disponibles,2021-03-09,188
ocupados,2021-03-09,2768
total,2021-03-10,3055
disponibles,2021-03-10,204
ocupados,2021-03-10,2851
total,2021-03-11,3088
disponibles,2021-03-11,193
ocupados,2021-03-11,2895
total,2021-03-12,3110
disponibles,2021-03-12,201
ocupados,2021-03-12,2909
total,2021-03-13,3141
disponibles,2021-03-13,214
ocupados,2021-03-13,2927
total,2021-03-14,3165
disponibles,2021-03-14,192
ocupados,2021-03-14,2973
total,2021-03-15,3177
disponibles,2021-03-15,178
ocupados,2021-03-15,2999
total,2021-03-16,3197
disponibles,2021-03-16,166
ocupados,2021-03-16,3031
total,2021-03-17,3276
disponibles,2021-03-17,188
ocupados,2021-03-17,3088
total,2021-03-18,3332
disponibles,2021-03-18,193
ocupados,2021-03-18,3139
total,2021-03-19,3342
disponibles,2021-03-19,201
